,resultUom,phenomenonTimeReferenceYear,resultMeanValue,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent,pollution_status
0,mg{NO2}/L,2009,0.0633100513,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
1,mg{NO2}/L,2009,0.04673285135,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
2,{massRatio},2009,132.859,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,2
3,mg{NO3}/L,2009,11.5783758,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
4,mmol/L,2009,0.2068,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,2
5,mg{NO3}/L,2009,2.4777919,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
6,mg{P}/L,2009,0.0133,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
7,{massRatio},2009,165.232,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,2
8,%,2009,80.9833,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
9,{massRatio},2009,86.6594,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,2
10,mg{P}/L,2009,0.0591666999999999,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
11,mg{N}/L,2009,0.93,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
12,%,2009,80.175,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
13,[pH],2009,7.689189999999999,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
14,mg{Si}/L,2009,9.15458,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
15,%,2009,81.3,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
16,mg{O2}/L,2009,1.0625,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
17,mg{P}/L,2009,0.0385596,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
18,[pH],2009,7.63017,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
19,mg{N}/L,2009,1.0,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
20,mg{N}/L,2009,0.2442030000000001,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
21,mg{NO2}/L,2009,0.01999262012,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
22,mg{NH4}/L,2009,0.159449248,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
23,{massRatio},2009,37.9861,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,2
24,mg{P}/L,2009,0.0566666999999999,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
25,ug/L,2009,4.125,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
26,uS/cm,2009,503.75,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
27,mg{N}/L,2009,1.0,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
28,mg{N}/L,2009,1.4336799999999998,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
29,mg{O2}/L,2009,1.10833,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
30,uS/cm,2009,344.667,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
31,mg{O2}/L,2009,1.76667,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
32,mg{NH4}/L,2009,0.1060214624,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
33,mg{N}/L,2009,0.928889,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
34,mg{P}/L,2009,0.0383333,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
35,mg{NO3}/L,2009,3.881956614,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
36,{massRatio},2009,17.2379,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,2
37,mg{NH4}/L,2009,0.0742985375999999,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
38,{massRatio},2009,18.9363,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,2
39,ug/L,2016,25.0,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,0
40,mg/L,2016,328.38,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,2
41,ug/L,2016,5.41,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
42,mg{NO3}/L,2009,5.27313251,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
43,mg{P}/L,2009,0.0483333,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
44,mg{Si}/L,2009,13.5043,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
45,uS/cm,2009,216.25,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
46,mg{N}/L,2009,1.55177,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
47,mg{O2}/L,2009,1.6,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
48,ug/L,2009,1.4375,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
49,mg{N}/L,2009,0.666667,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
50,mg{P}/L,2009,0.0319517999999999,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
51,Cel,2009,10.0333,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
52,mg{N}/L,2009,2.5782700000000003,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
53,ug/L,2016,0.02,Spain,93.6771974435832,15.047884084971097,50941692.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84,1
54,mg{NO2}/L,2009,0.03165495996,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
55,%,2009,103.317,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
56,%,2009,96.72,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
57,%,2009,93.3182,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,0
58,mg{NO3}/L,2009,14.56150975,France,122.299437237519,30.8319059046492,71176346.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26,1
